0,1,2
1,AS MONACO,79 38 23 10 5 69 30 +39
2,PARIS SAINT-GERMAIN,67 38 18 13 7 57 31 +26
3,FC NANTES,64 38 16 16 6 61 32 +29
4,FC GIRONDINS DE BORDEAUX,63 38 16 15 7 59 42 +17
5,FC METZ,62 38 17 11 10 40 30 +10
6,AJ AUXERRE,61 38 17 10 11 49 32 +17
7,SC BASTIA,61 38 17 10 11 54 47 +7
8,OLYMPIQUE LYONNAIS,60 38 16 12 10 59 50 +9
9,RC STRASBOURG ALSACE,60 38 19 3 16 52 49 +3
10,MONTPELLIER HÃ‰RAULT SC,51 38 12 15 11 40 40 0
11,OLYMPIQUE DE MARSEILLE,49 38 12 13 13 43 48 -5
12,EN AVANT GUINGAMP,46 38 11 13 14 32 36 -4
13,RC LENS,45 38 12 9 17 40 52 -12
14,HAVRE ATHLETIC CLUB,43 38 10 13 15 34 43 -9
15,A.S. CANNES,41 38 9 14 15 25 41 -16
16,STADE RENNAIS FC,40 38 10 10 18 40 58 -18
17,STADE MALHERBE CAEN,37 38 7 16 15 35 46 -11
18,AS NANCY LORRAINE,37 38 9 10 19 33 51 -18
19,LOSC LILLE,35 38 8 11 19 32 58 -26
20,OGC NICE,23 38 5 8 25 30 68 -38
